"num","Date","i01","i02","i03","i04","i05","i06","i07","i08","i09","i10","i11","i12","i13","i14","i15","i16","i17","gen","age","Dominancia","Prestigio"
162,"31/10/2017 10:42",5,3,5,6,3,1,1,6,6,2,4,3,6,7,6,2,2,NA,NA,4,6
163,"31/10/2017 16:12",5,1,4,4,2,2,1,6,2,3,4,3,5,6,5,1,1,NA,NA,3,5.66666666666667
164,"31/10/2017 16:50",5,1,3,5,1,7,1,6,1,1,1,1,6,5,5,1,1,NA,NA,2.75,5.22222222222222
165,"31/10/2017 18:33",5,4,4,5,4,3,2,4,4,4,3,5,5,5,5,3,3,NA,NA,3.375,4.77777777777778
166,"31/10/2017 20:03",5,4,4,4,5,4,3,5,4,4,3,4,4,5,5,2,3,NA,NA,3.625,4.55555555555556
167,"31/10/2017 20:30",6,4,4,5,4,2,1,5,3,3,1,3,5,5,5,1,2,NA,NA,3,5.22222222222222
168,"31/10/2017 20:33",6,3,7,6,5,1,5,7,6,2,6,1,6,6,5,5,1,NA,NA,5.875,6.11111111111111
169,"31/10/2017 21:04",5,4,1,5,1,7,1,7,1,1,1,1,5,5,5,1,1,NA,NA,2.5,4.88888888888889
170,"31/10/2017 21:34",5,4,4,6,3,1,1,6,3,3,3,4,7,7,6,4,1,NA,NA,3.375,6.11111111111111
171,"31/10/2017 21:56",6,7,6,4,4,2,1,6,7,1,2,1,6,6,6,2,2,NA,NA,4.5,5.22222222222222
172,"31/10/2017 22:18",6,4,5,5,4,2,1,6,3,4,2,5,5,3,3,1,1,NA,NA,2.875,5
173,"31/10/2017 22:48",5,4,4,7,3,3,2,6,5,4,3,4,5,6,5,2,3,NA,NA,3.375,5.33333333333333
174,"31/10/2017 23:00",4,3,2,4,4,2,1,6,1,3,2,5,4,4,6,1,4,NA,NA,2.375,4.77777777777778
175,"31/10/2017 23:46",5,4,5,5,4,3,1,6,3,2,4,3,5,6,5,2,2,NA,NA,3.75,5.22222222222222
176,"1/11/2017 7:42",4,3,4,5,4,3,3,5,3,3,3,4,4,5,6,3,3,NA,NA,3.625,4.88888888888889
177,"1/11/2017 7:56",6,3,4,6,3,1,1,6,4,4,4,4,7,5,5,3,2,NA,NA,3.375,5.88888888888889
178,"1/11/2017 8:52",6,2,2,6,2,4,1,5,2,3,2,4,4,4,5,2,4,NA,NA,2.5,4.88888888888889
179,"1/11/2017 12:19",6,2,4,7,3,2,1,7,3,4,3,4,6,5,5,1,1,NA,NA,2.875,6.11111111111111
180,"1/11/2017 14:14",6,7,4,5,3,3,1,7,1,3,5,3,7,6,6,1,1,NA,NA,3.125,5.55555555555556
181,"1/11/2017 15:48",5,4,6,5,5,3,2,6,6,2,4,2,6,5,5,3,3,NA,NA,4.75,5.11111111111111
182,"1/11/2017 16:54",5,4,3,5,5,2,2,5,4,4,2,3,4,4,5,1,5,NA,NA,3.25,4.55555555555556
183,"1/11/2017 18:05",6,4,4,6,3,3,2,3,3,4,3,4,5,4,6,4,1,NA,NA,3.375,5.11111111111111
184,"1/11/2017 20:20",6,4,4,6,3,2,1,6,2,2,3,4,5,5,6,1,1,NA,NA,3,5.66666666666667
185,"1/11/2017 21:10",6,4,4,5,3,3,1,5,2,5,3,2,6,5,6,1,1,NA,NA,2.875,5.44444444444444
186,"1/11/2017 22:22",4,1,1,2,1,4,1,6,1,1,1,6,4,4,4,1,2,NA,NA,1.875,4.55555555555556
187,"2/11/2017 0:20",5,4,5,4,6,3,3,3,6,2,4,2,4,4,5,1,2,NA,NA,4.625,4.44444444444444
188,"2/11/2017 0:25",6,2,6,6,4,1,1,7,5,1,4,1,6,6,6,2,1,NA,NA,4.5,6.33333333333333
189,"2/11/2017 10:27",6,2,5,6,4,1,3,6,4,1,5,1,5,6,6,4,1,NA,NA,4.875,6.11111111111111
190,"2/11/2017 13:22",5,3,3,5,3,2,1,5,4,4,3,2,5,5,6,1,1,NA,NA,3.125,5.44444444444444
191,"2/11/2017 14:09",5,2,3,4,3,4,2,5,2,3,3,3,4,4,5,2,2,NA,NA,3.125,4.77777777777778
192,"2/11/2017 14:24",3,7,5,1,1,4,1,7,4,4,4,4,6,6,6,6,6,NA,NA,3.625,4
193,"2/11/2017 22:23",4,3,3,5,3,2,1,6,3,4,3,3,6,5,5,2,1,NA,NA,3,5.44444444444444
194,"2/11/2017 22:45",5,1,3,5,2,2,1,4,1,1,1,2,5,4,4,1,1,NA,NA,2.75,5.22222222222222
195,"2/11/2017 22:55",5,3,4,6,3,5,1,6,4,2,1,2,4,5,5,1,1,NA,NA,3.25,5.11111111111111
196,"3/11/2017 0:00",5,4,4,5,5,6,1,7,5,4,4,4,6,5,5,1,1,NA,NA,3.5,5.11111111111111
197,"3/11/2017 2:21",6,3,4,5,4,2,3,6,5,2,3,3,6,6,6,3,2,NA,NA,4.125,5.77777777777778
198,"3/11/2017 6:55",5,6,4,4,5,1,1,4,3,1,3,1,6,3,6,1,1,NA,NA,3.875,4.88888888888889
199,"3/11/2017 10:41",5,2,2,6,2,2,1,6,3,2,3,3,6,6,6,2,1,NA,NA,3,6
200,"3/11/2017 13:31",6,1,1,6,3,4,1,6,1,4,2,1,5,5,6,1,6,NA,NA,2.5,5.22222222222222
201,"3/11/2017 14:52",4,1,7,6,6,2,1,7,6,4,5,4,7,5,6,5,2,NA,NA,4.75,6
202,"3/11/2017 14:57",5,4,5,6,6,2,1,6,4,2,2,2,5,5,6,2,3,NA,NA,4,5.33333333333333
203,"3/11/2017 15:40",5,4,3,5,3,2,1,6,3,2,2,4,5,5,6,1,3,NA,NA,2.875,5.22222222222222
204,"3/11/2017 17:00",5,3,5,6,4,2,1,5,2,4,1,4,2,5,5,1,1,NA,NA,2.75,5.11111111111111
205,"3/11/2017 17:04",5,2,3,4,3,5,2,5,3,6,3,5,4,4,5,2,2,NA,NA,2.625,4.66666666666667
206,"4/11/2017 9:51",4,1,4,4,3,3,1,4,3,4,4,1,4,4,5,1,1,NA,NA,3.375,4.88888888888889
207,"4/11/2017 18:05",6,4,3,4,2,5,1,6,1,3,4,6,6,6,6,1,1,NA,NA,2.375,5.33333333333333
208,"4/11/2017 20:19",6,1,1,5,1,5,1,5,1,1,1,1,5,5,5,2,1,NA,NA,2.625,5.33333333333333
209,"5/11/2017 9:04",5,4,1,6,2,5,1,3,2,3,1,2,3,4,5,1,1,NA,NA,2.375,4.44444444444444
